rtime,src,dst,sp,dp,size,tag
19236,32,33,20570,62526,2870841,10
19237,51,52,13831,50159,2019660,20
19238,41,42,39443,59575,3701495,15
19256,51,52,13831,50159,2013319,20
19264,42,41,39443,59575,2861094,15
19265,43,41,39443,59575,3293184,15
19327,42,41,39443,59575,2863928,15
19338,43,41,39443,59575,3301530,15
19400,31,33,20570,62526,3716339,10
19431,31,32,20570,62526,3722598,10
19434,52,51,13831,50159,1196750,20
19437,33,32,20570,62526,3291659,10
19487,31,32,20570,62526,3708263,10
19517,31,32,20570,62526,3721366,10
19519,52,51,13831,50159,1193984,20
19574,53,51,13831,50159,1602724,20
19597,53,51,13831,50159,1596064,20
19630,53,51,13831,50159,1599356,20
19661,33,31,20570,62526,3277566,10
19684,53,51,13831,50159,1597447,20
19694,33,31,20570,62526,3299427,10
19780,51,53,13831,50159,2013255,20
19798,52,53,13831,50159,1195439,20
19799,52,51,13831,50159,1195086,20
19817,52,53,13831,50159,1196012,20
19834,33,32,20570,62526,3280647,10
19845,52,53,13831,50159,1195875,20
19863,33,32,20570,62526,3281001,10
19888,31,32,20570,62526,3721101,10
19895,52,53,13831,50159,1197386,20
19917,33,31,20570,62526,3283103,10
19982,51,53,13831,50159,2014846,20
19996,52,51,13831,50159,1193220,20
20018,51,53,13831,50159,2014648,20
20039,51,53,13831,50159,2017607,20
20129,33,32,20570,62526,3288935,10
21019,51,52,13831,50159,1472378,21
21021,53,52,13831,50159,1846502,21
21049,51,53,13831,50159,1459816,21
21051,51,52,13831,50159,1569986,21
21053,52,53,13831,50159,1094414,21
21055,53,51,13831,50159,1831876,21
21055,52,51,13831,50159,1094363,21
21073,52,53,13831,50159,1179205,21
21076,52,51,13831,50159,1116713,21
21091,52,53,13831,50159,1191597,21
21094,51,53,13831,50159,1588158,21
21107,53,52,13831,50159,1955900,21
21121,52,53,13831,50159,1131707,21
21123,52,51,13831,50159,1193624,21
21132,51,53,13831,50159,1578263,21
21132,53,51,13831,50159,1864344,21
21150,51,52,13831,50159,1592317,21
21161,52,51,13831,50159,1176056,21
21163,53,52,13831,50159,2001164,21
21165,51,53,13831,50159,1507831,21
21169,53,51,13831,50159,1992021,21
21184,51,52,13831,50159,1541817,21
21192,53,52,13831,50159,1929944,21
21206,53,51,13831,50159,1944418,21
21566,41,42,39443,59575,3071383,16
21608,42,41,39443,59575,3067055,16
21614,42,43,39443,59575,3067449,16
21627,41,43,39443,59575,3065732,16
21656,43,41,39443,59575,3071255,16
21667,42,43,39443,59575,3065150,16
21687,41,42,39443,59575,3077546,16
21693,43,42,39443,59575,3069274,16
21713,42,43,39443,59575,3061375,16
21721,43,41,39443,59575,3075164,16
21735,41,42,39443,59575,3072734,16
21766,42,43,39443,59575,3071847,16
21768,43,42,39443,59575,3071479,16
21775,43,41,39443,59575,3074676,16
21777,41,42,39443,59575,3068100,16
21781,42,41,39443,59575,3080570,16
21784,41,43,39443,59575,3067166,16
21825,43,41,39443,59575,3064230,16
21837,41,43,39443,59575,3074480,16
21867,42,41,39443,59575,3070632,16
21879,41,43,39443,59575,3073078,16
21882,43,42,39443,59575,3065217,16
21906,42,41,39443,59575,3073550,16
21920,43,42,39443,59575,3066850,16
22421,31,33,20570,62526,3062766,11
22426,32,33,20570,62526,3073593,11
22426,33,32,20570,62526,3079225,11
22428,31,32,20570,62526,3072729,11
22434,33,31,20570,62526,3074856,11
22445,32,31,20570,62526,3072569,11
22489,32,33,20570,62526,3068517,11
22493,31,33,20570,62526,3076456,11
22495,33,31,20570,62526,3064511,11
22504,32,31,20570,62526,3067514,11
22523,33,32,20570,62526,3062549,11
22540,33,31,20570,62526,3063853,11
22542,32,33,20570,62526,3074214,11
22554,31,32,20570,62526,3075676,11
22575,33,31,20570,62526,3071041,11
22580,32,33,20570,62526,3070938,11
22613,32,31,20570,62526,3071727,11
22615,33,32,20570,62526,3075726,11
22651,32,31,20570,62526,3064006,11
22680,33,32,20570,62526,3072639,11
22687,31,32,20570,62526,3068018,11
22687,31,33,20570,62526,3067749,11
22720,31,33,20570,62526,3081214,11
22765,31,32,20570,62526,3060178,11
23466,52,51,13831,50159,1106229,21
23467,53,51,13831,50159,1835838,21
23492,52,51,13831,50159,1115657,21
23493,53,51,13831,50159,1890884,21
23512,52,51,13831,50159,1136277,21
23519,53,51,13831,50159,1855543,21
23548,53,51,13831,50159,1916923,21
23571,52,51,13831,50159,1146042,21
23848,51,53,13831,50159,1557027,21
23849,52,53,13831,50159,1160158,21
23879,51,53,13831,50159,1576935,21
23882,52,53,13831,50159,1184959,21
23903,51,53,13831,50159,1584696,21
23918,52,53,13831,50159,1189843,21
24015,52,53,13831,50159,1182843,21
24016,51,53,13831,50159,1584039,21
24187,53,52,13831,50159,1977408,21
24195,51,52,13831,50159,1584436,21
24222,51,52,13831,50159,1556276,21
24227,53,52,13831,50159,1933935,21
24265,53,52,13831,50159,1920392,21
24270,51,52,13831,50159,1529938,21
24313,53,52,13831,50159,1886483,21
24326,51,52,13831,50159,1514959,21
24668,23,21,43114,10902,6156294,6
24695,22,21,43114,10902,6172212,6
24751,21,23,43114,10902,6167969,6
24775,22,23,43114,10902,6153639,6
24792,23,22,43114,10902,6161891,6
24794,23,21,43114,10902,6154895,6
24794,21,22,43114,10902,6162094,6
24836,22,21,43114,10902,6160068,6
24873,22,23,43114,10902,6162298,6
24893,23,21,43114,10902,6147322,6
24971,22,21,43114,10902,6161713,6
24986,21,23,43114,10902,6151871,6
24986,23,22,43114,10902,6150477,6
24992,21,22,43114,10902,6165234,6
25003,22,23,43114,10902,6150817,6
25076,23,21,43114,10902,6163161,6
25077,22,21,43114,10902,6147436,6
25088,23,22,43114,10902,6152720,6
25136,43,41,39443,59575,3068390,16
25167,43,41,39443,59575,3066419,16
25201,21,22,43114,10902,6152723,6
25208,23,22,43114,10902,6154776,6
25220,21,23,43114,10902,6154688,6
25262,43,41,39443,59575,3070317,16
25277,21,23,43114,10902,6150774,6
25316,43,41,39443,59575,3072585,16
25345,42,41,39443,59575,3065322,16
25388,42,41,39443,59575,3070258,16
25419,42,41,39443,59575,3075321,16
25449,42,41,39443,59575,3075568,16
25503,53,51,13831,50159,1857885,21
25504,52,51,13831,50159,1110673,21
25520,21,22,43114,10902,6159591,6
25531,52,51,13831,50159,1101740,21
25535,53,51,13831,50159,1844993,21
25556,22,23,43114,10902,6169999,6
25612,41,43,39443,59575,3071593,16
25629,42,43,39443,59575,3073538,16
25677,53,51,13831,50159,1833113,21
25677,52,51,13831,50159,1098684,21
25698,41,43,39443,59575,3066294,16
25730,41,43,39443,59575,3074922,16
25745,53,51,13831,50159,1821298,21
25745,52,51,13831,50159,1097794,21
25810,41,43,39443,59575,3060931,16
25868,32,31,20570,62526,3072312,11
25868,33,31,20570,62526,3071377,11
25887,42,43,39443,59575,3073918,16
25923,33,31,20570,62526,3070664,11
25931,42,43,39443,59575,3062989,16
25937,32,31,20570,62526,3065764,11
25957,42,43,39443,59575,3066621,16
25963,33,31,20570,62526,3068751,11
26021,33,31,20570,62526,3068677,11
26023,32,31,20570,62526,3067813,11
26083,32,31,20570,62526,3076647,11
26103,51,53,13831,50159,1477202,21
26119,52,53,13831,50159,1112136,21
26224,43,42,39443,59575,3065172,16
26240,41,42,39443,59575,3076652,16
26292,43,42,39443,59575,3071188,16
26298,41,42,39443,59575,3066584,16
26302,51,53,13831,50159,1493258,21
26303,52,53,13831,50159,1124182,21
26333,52,53,13831,50159,1130169,21
26338,51,53,13831,50159,1505451,21
26355,52,53,13831,50159,1156433,21
26358,51,53,13831,50159,1543355,21
26397,51,52,13831,50159,1565545,21
26399,53,52,13831,50159,1956153,21
26420,43,42,39443,59575,3077076,16
26441,41,42,39443,59575,3065254,16
26495,43,42,39443,59575,3065241,16
26497,41,42,39443,59575,3071502,16
26507,51,52,13831,50159,1577486,21
26509,53,52,13831,50159,1984557,21
26644,51,52,13831,50159,1596981,21
26646,53,52,13831,50159,2005672,21
26694,31,33,20570,62526,3072773,11
26694,32,33,20570,62526,3067779,11
26714,51,52,13831,50159,1592568,21
26716,53,52,13831,50159,1988037,21
26743,31,33,20570,62526,3065975,11
26760,32,33,20570,62526,3074908,11
26784,31,33,20570,62526,3073621,11
26835,32,33,20570,62526,3069065,11
26849,33,32,20570,62526,3072572,11
27019,31,32,20570,62526,3060208,11
27046,33,32,20570,62526,3071332,11
27088,31,32,20570,62526,3070285,11
27089,31,33,20570,62526,3072890,11
27105,32,33,20570,62526,3066717,11
27135,31,32,20570,62526,3073944,11
27197,33,32,20570,62526,3072685,11
27286,33,32,20570,62526,3075078,11
27300,31,32,20570,62526,3062619,11
27511,52,51,13831,50159,1184862,21
27513,53,51,13831,50159,1984706,21
27536,52,51,13831,50159,1180571,21
27545,53,51,13831,50159,1967079,21
27569,53,51,13831,50159,1918422,21
27595,52,51,13831,50159,1158928,21
27767,52,51,13831,50159,1142490,21
27768,53,51,13831,50159,1889724,21
28171,51,53,13831,50159,1499020,21
28172,52,53,13831,50159,1116605,21
28188,52,53,13831,50159,1109132,21
28207,51,53,13831,50159,1474120,21
28207,52,53,13831,50159,1113300,21
28234,51,53,13831,50159,1470995,21
28313,51,53,13831,50159,1468195,21
28314,52,53,13831,50159,1108555,21
28791,53,52,13831,50159,1847522,21
28902,53,52,13831,50159,1872058,21
29004,53,52,13831,50159,1897702,21
29130,53,52,13831,50159,1923997,21
29260,51,52,13831,50159,1471975,21
29279,51,52,13831,50159,1498686,21
29293,51,52,13831,50159,1517265,21
29329,51,52,13831,50159,1531094,21
30065,43,41,39443,59575,1173553,17
30068,41,43,39443,59575,1176524,17
30070,42,41,39443,59575,1174939,17
30075,42,43,39443,59575,1173342,17
30086,41,43,39443,59575,1175115,17
30087,41,42,39443,59575,1177165,17
30087,43,41,39443,59575,1174960,17
30095,43,42,39443,59575,1173678,17
30112,43,42,39443,59575,1174511,17
30116,41,43,39443,59575,1175055,17
30120,41,42,39443,59575,1173083,17
30128,43,41,39443,59575,1172129,17
30132,42,41,39443,59575,1175013,17
30139,41,43,39443,59575,1171672,17
30144,43,42,39443,59575,1172481,17
30147,43,41,39443,59575,1176712,17
30155,42,41,39443,59575,1171360,17
30168,43,42,39443,59575,1170808,17
30173,42,41,39443,59575,1174264,17
30201,41,42,39443,59575,1178789,17
30214,41,42,39443,59575,1173983,17
30312,42,43,39443,59575,1172346,17
30328,42,43,39443,59575,1173552,17
30341,42,43,39443,59575,1174436,17
30779,33,31,20570,62526,1174453,12
30780,31,33,20570,62526,1178007,12
30781,32,33,20570,62526,1175448,12
30781,32,31,20570,62526,1174592,12
30799,31,33,20570,62526,1173297,12
30801,31,32,20570,62526,1177728,12
30801,33,32,20570,62526,1173602,12
30813,32,31,20570,62526,1173489,12
30835,32,33,20570,62526,1174023,12
30837,33,32,20570,62526,1172296,12
30847,31,33,20570,62526,1177001,12
30849,31,32,20570,62526,1174347,12
30858,33,31,20570,62526,1174888,12
30874,31,33,20570,62526,1171062,12
30875,32,33,20570,62526,1175675,12
30888,31,32,20570,62526,1177932,12
30890,32,31,20570,62526,1175517,12
30898,33,31,20570,62526,1171560,12
30901,33,32,20570,62526,1175607,12
30907,32,33,20570,62526,1175061,12
30907,31,32,20570,62526,1172535,12
30917,32,31,20570,62526,1173240,12
30919,33,31,20570,62526,1173864,12
30933,33,32,20570,62526,1173599,12
31370,52,53,13831,50159,794916,22
31370,52,51,13831,50159,784644,22
31371,53,51,13831,50159,774147,22
31372,51,53,13831,50159,783820,22
31374,51,52,13831,50159,788213,22
31375,53,52,13831,50159,792215,22
31384,53,51,13831,50159,788402,22
31389,51,53,13831,50159,781298,22
31389,52,53,13831,50159,732294,22
31392,51,52,13831,50159,764316,22
31397,52,53,13831,50159,793957,22
31397,52,51,13831,50159,799377,22
31401,53,51,13831,50159,741665,22
31402,53,52,13831,50159,764642,22
31409,53,52,13831,50159,778688,22
31411,51,53,13831,50159,722042,22
31418,51,52,13831,50159,774766,22
31418,52,53,13831,50159,760283,22
31419,52,51,13831,50159,749830,22
31420,53,51,13831,50159,725574,22
31430,53,52,13831,50159,735615,22
31430,51,53,13831,50159,747582,22
31433,52,51,13831,50159,733564,22
31447,51,52,13831,50159,729295,22
31838,43,41,39443,59575,1173654,17
31839,42,41,39443,59575,1171979,17
31873,42,41,39443,59575,1172945,17
31886,42,41,39443,59575,1172276,17
31889,43,41,39443,59575,1175555,17
31908,43,41,39443,59575,1173959,17
31916,42,41,39443,59575,1175622,17
31924,43,41,39443,59575,1172498,17
31955,41,43,39443,59575,1174530,17
31956,42,43,39443,59575,1174756,17
31983,41,43,39443,59575,1172668,17
32000,41,43,39443,59575,1173063,17
32004,42,43,39443,59575,1175677,17
32025,42,43,39443,59575,1175261,17
32048,42,43,39443,59575,1172797,17
32051,41,43,39443,59575,1173076,17
32321,41,42,39443,59575,1174225,17
32322,43,42,39443,59575,1173386,17
32358,43,42,39443,59575,1173007,17
32363,41,42,39443,59575,1175962,17
32402,22,23,43114,10902,1688329,7
32404,23,21,43114,10902,1688559,7
32408,22,21,43114,10902,1686425,7
32413,21,23,43114,10902,1686665,7
32414,21,22,43114,10902,1685820,7
32415,23,22,43114,10902,1685845,7
32434,22,23,43114,10902,1683016,7
32446,23,21,43114,10902,1686264,7
32459,22,21,43114,10902,1688958,7
32460,22,23,43114,10902,1685323,7
32469,23,22,43114,10902,1687019,7
32470,21,22,43114,10902,1688043,7
32486,23,21,43114,10902,1686940,7
32487,32,31,20570,62526,1173224,12
32488,33,31,20570,62526,1173516,12
32489,41,42,39443,59575,1173276,17
32489,43,42,39443,59575,1173700,17
32490,21,23,43114,10902,1687029,7
32492,21,22,43114,10902,1686220,7
32502,23,21,43114,10902,1689826,7
32505,32,31,20570,62526,1173911,12
32509,41,42,39443,59575,1173412,17
32512,43,42,39443,59575,1169841,17
32516,33,31,20570,62526,1173765,12
32526,32,31,20570,62526,1171476,12
32530,21,22,43114,10902,1685820,7
32532,21,23,43114,10902,1688493,7
32536,33,31,20570,62526,1172832,12
32545,23,22,43114,10902,1684675,7
32562,21,23,43114,10902,1688309,7
32563,22,21,43114,10902,1685630,7
32568,31,33,20570,62526,1174786,12
32568,32,33,20570,62526,1172412,12
32579,22,21,43114,10902,1686281,7
32580,23,22,43114,10902,1686831,7
32590,51,53,13831,50159,761980,22
32592,52,53,13831,50159,778848,22
32610,53,51,13831,50159,733126,22
32610,52,51,13831,50159,737965,22
32612,33,31,20570,62526,1173777,12
32612,32,31,20570,62526,1174061,12
32617,51,53,13831,50159,777385,22
32619,52,53,13831,50159,787647,22
32630,32,33,20570,62526,1173010,12
32630,31,33,20570,62526,1170983,12
32634,51,53,13831,50159,778096,22
32635,52,51,13831,50159,743082,22
32636,52,53,13831,50159,792883,22
32637,53,51,13831,50159,736804,22
32645,32,33,20570,62526,1173396,12
32653,31,33,20570,62526,1172123,12
32663,52,51,13831,50159,757806,22
32667,52,53,13831,50159,789098,22
32668,51,53,13831,50159,776473,22
32668,32,33,20570,62526,1175532,12
32681,31,33,20570,62526,1174693,12
32683,52,51,13831,50159,769737,22
32821,22,23,43114,10902,1686349,7
32872,53,51,13831,50159,750013,22
32877,53,51,13831,50159,758582,22
32921,51,52,13831,50159,777051,22
32922,53,52,13831,50159,782794,22
32964,51,52,13831,50159,768704,22
32967,53,52,13831,50159,766086,22
32999,31,32,20570,62526,1174770,12
33027,33,32,20570,62526,1173112,12
33097,31,32,20570,62526,1176915,12
33106,33,32,20570,62526,1173125,12
33118,51,52,13831,50159,756234,22
33126,51,52,13831,50159,743132,22
33154,33,32,20570,62526,1172901,12
33154,31,32,20570,62526,1173457,12
33183,53,52,13831,50159,761685,22
33188,53,52,13831,50159,747459,22
33194,31,32,20570,62526,1171021,12
33195,33,32,20570,62526,1171138,12
33658,52,51,13831,50159,745820,22
33659,53,51,13831,50159,735987,22
33678,51,53,13831,50159,724196,22
33679,52,53,13831,50159,737705,22
33707,51,53,13831,50159,734526,22
33708,52,53,13831,50159,745455,22
33726,51,53,13831,50159,740938,22
33727,52,53,13831,50159,754677,22
33762,51,53,13831,50159,757624,22
33763,52,53,13831,50159,769230,22
33841,52,51,13831,50159,734943,22
33842,53,51,13831,50159,723445,22
33852,52,51,13831,50159,734634,22
33856,53,51,13831,50159,730941,22
33860,52,51,13831,50159,729547,22
33868,53,51,13831,50159,720465,22
34218,51,52,13831,50159,772892,22
34220,53,52,13831,50159,771551,22
34340,51,52,13831,50159,778182,22
34344,53,52,13831,50159,781528,22
34380,51,52,13831,50159,786188,22
34382,53,52,13831,50159,786496,22
34539,51,52,13831,50159,784579,22
34541,53,52,13831,50159,788677,22
34594,41,42,39443,59575,1686340,18
34595,43,42,39443,59575,1684285,18
34595,42,41,39443,59575,1680703,18
34597,41,43,39443,59575,1685068,18
34598,43,41,39443,59575,1682109,18
34613,42,43,39443,59575,1678877,18
34619,41,43,39443,59575,1683197,18
34625,43,41,39443,59575,1681898,18
34626,52,51,13831,50159,790851,22
34627,53,51,13831,50159,782545,22
34631,43,42,39443,59575,1680476,18
34644,41,43,39443,59575,1684924,18
34649,41,42,39443,59575,1689453,18
34657,43,41,39443,59575,1684361,18
34658,43,42,39443,59575,1682959,18
34667,41,43,39443,59575,1680875,18
34675,42,43,39443,59575,1683420,18
34676,43,41,39443,59575,1687150,18
34687,41,42,39443,59575,1681748,18
34704,42,43,39443,59575,1680978,18
34706,41,42,39443,59575,1682566,18
34715,42,41,39443,59575,1684692,18
34721,43,42,39443,59575,1681353,18
34738,42,43,39443,59575,1683520,18
34742,51,53,13831,50159,740378,22
34743,52,53,13831,50159,752780,22
34762,42,41,39443,59575,1682441,18
34762,51,53,13831,50159,729372,22
34764,52,53,13831,50159,739282,22
34780,42,41,39443,59575,1683940,18
34794,51,53,13831,50159,723199,22
34795,52,53,13831,50159,737276,22
34835,51,53,13831,50159,726673,22
34839,52,53,13831,50159,733431,22
34899,52,51,13831,50159,788386,22
34899,53,51,13831,50159,779232,22
34919,52,51,13831,50159,768684,22
34919,53,51,13831,50159,765142,22
34937,52,51,13831,50159,760743,22
34938,53,51,13831,50159,753527,22
35229,31,33,20570,62526,1682255,13
35231,32,33,20570,62526,1684305,13
35239,32,31,20570,62526,1683074,13
35244,31,32,20570,62526,1682997,13
35245,31,33,20570,62526,1679092,13
35246,33,31,20570,62526,1683049,13
35247,33,32,20570,62526,1678509,13
35266,31,33,20570,62526,1687695,13
35276,33,31,20570,62526,1683601,13
35282,31,33,20570,62526,1685630,13
35300,33,32,20570,62526,1682812,13
35304,32,31,20570,62526,1683255,13
35305,33,31,20570,62526,1679410,13
35322,31,32,20570,62526,1686989,13
35334,33,31,20570,62526,1684641,13
35342,32,31,20570,62526,1682602,13
35345,33,32,20570,62526,1682475,13
35364,32,31,20570,62526,1683982,13
35372,33,32,20570,62526,1685314,13
35404,31,32,20570,62526,1682698,13
35420,31,32,20570,62526,1687186,13
35435,51,52,13831,50159,726609,22
35437,53,52,13831,50159,731038,22
35456,32,33,20570,62526,1684794,13
35470,32,33,20570,62526,1683711,13
35485,32,33,20570,62526,1685204,13
35702,51,52,13831,50159,738008,22
35704,53,52,13831,50159,745134,22
35854,51,52,13831,50159,750343,22
35856,53,52,13831,50159,755186,22
35947,51,52,13831,50159,758012,22
35950,53,52,13831,50159,762183,22
35973,22,23,43114,10902,2087787,8
35983,23,22,43114,10902,2088120,8
35989,23,21,43114,10902,2088012,8
35994,21,22,43114,10902,2087088,8
35995,22,21,43114,10902,2089824,8
36017,21,23,43114,10902,2088804,8
36019,22,23,43114,10902,2089671,8
36021,23,22,43114,10902,2087807,8
36044,23,21,43114,10902,2087053,8
36056,22,23,43114,10902,2086784,8
36070,22,21,43114,10902,2089874,8
36073,21,22,43114,10902,2088727,8
36091,22,23,43114,10902,2090391,8
36094,23,21,43114,10902,2088357,8
36109,21,22,43114,10902,2089310,8
36110,21,23,43114,10902,2085962,8
36119,23,21,43114,10902,2091122,8
36131,23,22,43114,10902,2088299,8
36145,21,22,43114,10902,2088245,8
36159,22,21,43114,10902,2087434,8
36184,21,23,43114,10902,2088742,8
36184,22,21,43114,10902,2088267,8
36185,23,22,43114,10902,2088509,8
36204,21,23,43114,10902,2087335,8
36321,42,41,39443,59575,1681509,18
36321,43,41,39443,59575,1681005,18
36347,43,41,39443,59575,1685028,18
36351,42,41,39443,59575,1682133,18
36380,43,41,39443,59575,1683256,18
36390,42,41,39443,59575,1679922,18
36411,43,41,39443,59575,1682192,18
36415,42,41,39443,59575,1686046,18
36432,41,43,39443,59575,1683257,18
36432,42,43,39443,59575,1682800,18
36464,42,43,39443,59575,1686420,18
36464,41,43,39443,59575,1679003,18
36488,42,43,39443,59575,1685269,18
36512,41,43,39443,59575,1680798,18
36541,41,43,39443,59575,1679823,18
36542,42,43,39443,59575,1682807,18
36604,43,42,39443,59575,1684496,18
36605,41,42,39443,59575,1681253,18
36683,41,42,39443,59575,1683638,18
